id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
164,Blanton's Original Single Barrel,750,93.0,46.5,Bourbon,10.0,100737.0,images/164.jpg,74.99,104.52,139.86,92451,8983,29697,53771,1
2848,Eagle Rare 10 Year,750,,45.0,Bourbon,542.0,100519.0,images/2848.jpg,39.99,66.25,49.99,82217,8744,25989,47484,2
4984,"E.H. Taylor, Jr. Small Batch",750,,50.0,Bourbon,210.0,100407.0,images/4984.jpg,44.99,94.43,93.57,61777,8161,19475,34141,3
466,Buffalo Trace,750,90.0,45.0,Bourbon,245.0,100447.0,images/466.jpg,26.99,41.82,36.96,49610,3403,12293,33914,4
158,Weller Antique 107,750,,53.5,Bourbon,156.0,100266.0,images/158.jpg,56.35,116.66,109.89,40001,8098,13989,17914,5
2803,Weller Special Reserve,750,,45.0,Bourbon,156.0,100328.0,images/2803.jpg,29.49,58.63,64.99,39429,3810,9769,25850,6
1586,Weller 12 Year The Original Wheated Bourbon,750,90.0,45.0,Bourbon,8728.0,100251.0,images/1586.jpg,159.99,178.62,234.49,25142,5835,8201,11106,7
2993,Stagg Jr.,750,134.4,67.2,Bourbon,3640.0,100027.0,images/2993.jpg,49.46,147.92,172.99,23209,6685,10765,5759,8
4662,Henry McKenna 10 Year,750,,50.0,Bourbon,777.0,100145.0,images/4662.jpg,60.49,75.24,79.99,20707,1832,5826,13049,9
409,Weller Full Proof,750,,57.0,Bourbon,156.0,100191.0,images/409.jpg,61.99,188.33,399.99,20287,5486,6033,8768,10
5120,"E.H. Taylor, Jr. Single Barrel",750,,50.0,Bourbon,210.0,100206.0,images/5120.jpg,73.76,166.45,135.14,20267,4889,5785,9593,11
13266,Heaven Hill Bottled In Bond 7 Year,750,,50.0,Bourbon,430.0,100144.0,images/13266.jpg,47.74,62.34,84.99,18850,1948,5366,11536,12
13089,Elijah Craig Toasted Barrel,750,,47.0,Bourbon,430.0,100094.0,images/13089.jpg,49.72,74.17,82.99,17328,2058,4696,10574,13
150,1792 Full Proof,750,,62.5,Bourbon,42.0,100098.0,images/150.jpg,45.92,73.06,79.87,16891,2392,5407,9092,14
159,Blanton's Gold Edition,750,103.0,51.5,Bourbon,10.0,100190.0,images/159.jpg,119.99,232.52,324.99,14458,3680,4511,6267,15
4905,Elmer T. Lee,750,90.0,45.0,Bourbon,700.0,100142.0,images/4905.jpg,56.66,147.57,329.87,14337,3855,4955,5527,16
1296,Knob Creek 12 Year,750,,50.0,Bourbon,189.0,100113.0,images/1296.jpg,61.99,86.81,91.29,13625,1444,3547,8634,17
1805,Sazerac Rye Whiskey,750,,45.0,Rye,705.0,100054.0,images/1805.jpg,28.73,46.77,51.89,13399,776,3080,9543,18
1816,Wild Turkey Rare Breed,750,116.8,58.4,Bourbon,191.0,100084.0,images/1816.jpg,46.03,70.61,68.79,13373,2054,3516,7803,19
2336,Woodford Reserve Double Oaked,750,90.4,45.2,Bourbon,2004.0,100171.0,images/2336.jpg,57.99,66.85,72.28,12705,1456,3207,8042,20
1522,Russell's Reserve 10 Year,750,,45.0,Bourbon,191.0,100122.0,images/1522.jpg,45.99,56.99,48.74,12391,1368,3192,7831,21
263,Old Forester 1920 Prohibition Style,750,115.0,57.5,Bourbon,152.0,100076.0,images/263.jpg,59.33,72.85,67.99,11816,1919,3016,6881,22
3088,Rock Hill Farms Bourbon,750,100.0,50.0,Bourbon,245.0,100081.0,images/3088.jpg,54.14,219.98,126.11,10747,3845,4387,2515,23
4589,Weller C.Y.P.B.,750,,47.5,Bourbon,156.0,100091.0,images/4589.jpg,49.17,231.09,131.66,10094,4091,3360,2643,24
4742,Old Grand Dad 114,750,114.0,57.0,Bourbon,793.0,100053.0,images/4742.jpg,30.75,40.74,33.84,10055,1084,2791,6180,25
15946,Smoke Wagon Uncut Unfiltered Bourbon,750,116.0,58.0,Bourbon,2808.0,100029.0,images/15946.jpg,64.99,107.24,147.89,9863,1450,2947,5466,26
2839,Caribou Crossing,750,80.0,40.0,Canadian Whisky,3733.0,100083.0,images/2839.jpg,49.96,95.28,59.57,9529,1502,3027,5000,27
2193,Evan Williams Bottled in Bond White Label,750,100.0,50.0,Bourbon,167.0,1999.0,images/2193.jpg,17.02,32.19,20.19,9513,736,5885,2892,28
1643,1792 Small Batch,750,93.7,46.85,Bourbon,42.0,100056.0,images/1643.jpg,30.3,45.11,33.22,9413,950,2550,5913,29
1165,Four Roses Single Barrel Straight Bourbon,750,120.0,60.0,Bourbon,148.0,200.0,images/1165.jpg,56.64,68.79,116.7,8466,1621,309,6536,30
3655,Angel's Envy,750,,43.3,Bourbon,96.0,100062.0,images/3655.jpg,49.2,69.02,36.7,8236,750,2019,5467,31
4952,Elijah Craig 18 Year Single Barrel,750,90.0,45.0,Bourbon,2.0,100078.0,images/4952.jpg,136.4,236.83,282.16,8228,1366,2745,4117,32
1587,Willett Pot Still Reserve Bourbon,750,94.0,47.0,Bourbon,2986.0,100083.0,images/1587.jpg,52.21,73.74,45.71,8210,765,2163,5282,33
4792,Elijah Craig Small Batch,750,94.0,47.0,Bourbon,2.0,100045.0,images/4792.jpg,27.78,45.78,27.05,8025,799,1994,5232,34
1821,Russell’s Reserve Single Barrel,750,,55.0,Bourbon,496.0,100049.0,images/1821.jpg,57.4,81.44,61.99,8022,1403,2031,4588,35
355,Baker's 7 Year 107 Proof,750,,53.5,Bourbon,288.0,100050.0,images/355.jpg,61.08,85.23,74.99,7772,677,2013,5082,37
12843,Blanton's Straight from the Barrel,750,126.7,63.35,Bourbon,10.0,100104.0,images/12843.jpg,149.98,269.23,241.66,7757,2573,2125,3059,38
2214,Old Forester 1910 Old Fine Whiskey,750,93.0,46.5,Bourbon,152.0,100059.0,images/2214.jpg,53.62,67.48,53.19,7673,1167,1833,4673,39
1211,Old Rip Van Winkle 10 Year,750,,53.5,Bourbon,370.0,100108.0,images/1211.jpg,129.99,576.68,816.66,7590,2100,2717,2773,40
