id,name,size,proof,abv,spirit_type,brand_id,popularity,image_url,avg_msrp,fair_price,shelf_price,total_score,wishlist_count,vote_count,bar_count,ranking
164,Blanton's Original Single Barrel,750,93,46.5,Bourbon,10,100737,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8QcHSZugg64kQy,74.99,104.52,139.86,92451,8983,29697,53771,1
2848,Eagle Rare 10 Year,750,,45,Bourbon,542,100519,https://d1w35me0y6a2bb.cloudfront.net/newproducts/ecce066b-6b3d-4b58-bd04-8bf9c67e3e92,39.99,66.25,49.99,82217,8744,25989,47484,2
4984,"E.H. Taylor, Jr. Small Batch",750,,50,Bourbon,210,100407,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recE8VJ2hGGJwZjdh,44.99,94.43,93.57,61777,8161,19475,34141,3
466,Buffalo Trace,750,90,45,Bourbon,245,100447,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recbYY28UjL8EfuFD,26.99,41.82,36.96,49610,3403,12293,33914,4
158,Weller Antique 107,750,,53.5,Bourbon,156,100266,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec8X36afthvgqzO9,56.35,116.66,109.89,40001,8098,13989,17914,5
2803,Weller Special Reserve,750,,45,Bourbon,156,100328,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec3BbLSm2nodYUyX,29.49,58.63,64.99,39429,3810,9769,25850,6
1586,Weller 12 Year The Original Wheated Bourbon,750,90,45,Bourbon,8728,100251,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recOZgUIgr8PGd6VI,159.99,178.62,234.49,25142,5835,8201,11106,7
2993,Stagg Jr.,750,134.4,67.2,Bourbon,3640,100027,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec5jaoF5vloYmUBL,49.46,147.92,172.99,23209,6685,10765,5759,8
4662,Henry McKenna 10 Year,750,,50,Bourbon,777,100145,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recA4ugxUL7JhJfau,60.49,75.24,79.99,20707,1832,5826,13049,9
409,Weller Full Proof,750,,57,Bourbon,156,100191,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reca43ZoXAj2Ri9Lg,61.99,188.33,399.99,20287,5486,6033,8768,10
5120,"E.H. Taylor, Jr. Single Barrel",750,,50,Bourbon,210,100206,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recGEFcW3n6oxv1Uo,73.76,166.45,135.14,20267,4889,5785,9593,11
13266,Heaven Hill Bottled In Bond 7 Year,750,,50,Bourbon,430,100144,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recSJfTSxTvljLvF8,47.74,62.34,84.99,18850,1948,5366,11536,12
13089,Elijah Craig Toasted Barrel,750,,47,Bourbon,430,100094,https://d1w35me0y6a2bb.cloudfront.net/newproducts/reciJGrkEXMQOdqYk,49.72,74.17,82.99,17328,2058,4696,10574,13
150,1792 Full Proof,750,,62.5,Bourbon,42,100098,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recVcP95KH4To384H,45.92,73.06,79.87,16891,2392,5407,9092,14
159,Blanton's Gold Edition,750,103,51.5,Bourbon,10,100190,https://d1w35me0y6a2bb.cloudfront.net/newproducts/rec4yIwUce6C3kD9K,119.99,232.52,324.99,14458,3680,4511,6267,15
4905,Elmer T. Lee,750,90,45,Bourbon,700,100142,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recDKdd9GSrWJS6so,56.66,147.57,329.87,14337,3855,4955,5527,16
1296,Knob Creek 12 Year,750,,50,Bourbon,189,100113,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recLpshU8Flh0HWX2,61.99,86.81,91.29,13625,1444,3547,8634,17
1805,Sazerac Rye Whiskey,750,,45,Rye,705,100054,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recRzB6sPjEkkc9Ac,28.73,46.77,51.89,13399,776,3080,9543,18
1816,Wild Turkey Rare Breed,750,116.8,58.4,Bourbon,191,100084,https://d1w35me0y6a2bb.cloudfront.net/newproducts/113b14ea-348f-4525-be01-962b0b2a494d,46.03,70.61,68.79,13373,2054,3516,7803,19
2336,Woodford Reserve Double Oaked,750,90.4,45.2,Bourbon,2004,100171,https://d1w35me0y6a2bb.cloudfront.net/newproducts/recXaFRMlPLwSoi4x,57.99,66.85,72.28,12705,1456,3207,8042,20
